instance,seed,algorithm,objective,coverage_pct,runtime_sec,num_facilities,budget_used,num_moves,num_iterations,facilities
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,22.902570724487305,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,23.010390758514404,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,25.27812933921814,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,23.867035627365112,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,24.267221450805664,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,24.879083395004272,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,22.30349373817444,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,23.540279865264893,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,23.193138122558594,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,22.49966335296631,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,23.13913631439209,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,21.747971773147583,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,23.891467332839966,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,22.764660835266113,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,24.10023307800293,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,22.96346926689148,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,25.03962278366089,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,22.74128818511963,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,23.127877950668335,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,23.967759132385254,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,23.575563669204712,7,14.88,15000,15000,"4,10,22,41,42,54,96"
test_tiny,42,greedy,142.0,93.42105263157895,3.981590270996094e-05,2,4.0,0,0,"2,3"
test_tiny,42,closest_neighbor,142.0,93.42105263157895,4.124641418457031e-05,2,4.0,0,0,"2,3"
test_tiny,42,local_search,142.0,93.42105263157895,0.001028299331665039,2,4.0,18,20,"2,3"
test_tiny,42,tabu_search,142.0,93.42105263157895,0.22058987617492676,2,4.0,15000,15000,"2,3"
random_I100_J500_B15.0_R6.5_s42,42,greedy,20248.0,79.8422712933754,0.003262758255004883,8,14.89,0,0,"9,10,22,32,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,closest_neighbor,20289.0,80.00394321766562,0.0003561973571777344,8,14.719999999999999,0,0,"9,10,18,22,36,42,50,96"
random_I100_J500_B15.0_R6.5_s42,42,local_search,21099.0,83.19794952681387,0.2282276153564453,7,14.88,144,20,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,22.982189416885376,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B20.0_R6.5_s43,42,greedy,22221.0,87.33296651469895,0.00461268424987793,11,19.55,0,0,"0,2,9,27,53,81,82,87,90,91,99"
random_I100_J500_B20.0_R6.5_s43,42,closest_neighbor,20643.0,81.1311114604622,0.0003070831298828125,9,19.25,0,0,"0,41,54,70,74,81,82,90,91"
random_I100_J500_B20.0_R6.5_s43,42,local_search,22448.0,88.22512183618927,0.6693882942199707,10,19.88,158,20,"9,27,53,63,74,81,82,87,91,98"
random_I100_J500_B20.0_R6.5_s43,42,tabu_search,22549.0,88.62207200125766,32.57324481010437,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
